id,width,height
76,29,19
77,25,13
78,25,22
79,6,16
80,3,3
81,22,13
82,29,16
83,22,3
84,19,3
85,22,29
86,16,22
87,10,25
88,19,19
89,10,25
90,16,22
91,13,3
92,16,19
93,13,13
94,3,10
95,19,25
96,13,29
97,13,16
98,25,13
99,22,10
100,19,16
101,19,3
102,13,10
103,29,25
104,29,19
105,19,3
106,13,10
107,16,3
108,25,10
109,25,29
110,19,6
111,10,19
112,25,10
113,10,22
114,25,10
115,6,16
116,29,19
117,3,19
118,10,6
119,6,10
120,16,29
121,3,3
122,13,10
123,16,16
124,13,29
125,19,10
126,16,13
127,29,16
128,25,25
129,25,19
130,25,10
131,29,10
132,29,22
133,6,22
134,16,6
135,3,3
136,16,25
137,6,3
138,6,25
139,25,25
140,19,10
141,25,29
142,25,10
143,16,3
144,3,3
145,13,22
146,13,6
147,10,6
148,22,6
149,3,16
150,13,25
